pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,mixed_p1k_mean,enf_p1k_mean,oblig_ratio,hard_total,soft_total,oblig_ratio_core,n_tig_articles,template_flag,template_exporter,is_template,is_us_tpa,is_eu_template,is_plurilateral,n_g20_parties,asymmetry_type,alschner_cluster,d_us_tpa,d_eu_template,d_other_template,d_plurilateral,d_symmetric,d_eastern_european,d_central_asian,d_modern_global
1,Japan - Thailand,2007,29808.0,175.0,17.0,15.633387010198604,1.0064412238325282,0.7045088566827697,9.561191626409018,4.997430779209161,466.0,51.0,16.91096721974909,12.0,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
2,Egypt - Turkey,2005,3912.0,40.0,8.0,23.261758691206545,0.5112474437627812,0.2556237218813906,6.3905930470347645,3.1264059304703475,91.0,3.0,1.9861111111111112,6.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
3,Chile - Japan,2007,31380.0,201.0,17.0,14.499681325685149,1.2746972594008923,0.5417463352453792,12.651370299553856,2.854262648335306,455.0,57.0,3.753328402366864,17.0,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
4,Central European Free Trade Agreement (CEFTA) 2006,2006,789.0,6.0,3.0,13.94169835234474,0.0,0.0,0.0,2.594423320659062,11.0,0.0,,,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
5,EFTA - Egypt,2007,5483.0,52.0,10.0,19.697246033193508,0.7295276308590188,0.7295276308590188,8.93671347802298,2.6555413702960666,108.0,8.0,3.447814910025707,19.0,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
6,Southern African Customs Union (SACU),2002,4934.0,53.0,10.0,27.158492095662748,0.40535062829347385,0.4053506282934738,6.080259424402108,3.8426226185650587,134.0,4.0,,,none,,False,False,False,True,1,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
7,Chile - China,2005,17784.0,123.0,14.0,15.800719748088168,1.6869095816464237,0.39361223571749887,14.338731443994602,2.7742352676563202,281.0,37.0,4.395631067961165,9.0,china_template,CHN,True,False,False,False,1,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
8,Trans-Pacific Strategic Economic Partnership,2005,31101.0,198.0,20.0,14.211761679688756,1.1896723578019999,0.675219446320054,10.063985080865567,3.0151334898127606,442.0,58.0,2.6496543310288736,14.0,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
9,India - Singapore,2005,31530.0,167.0,15.0,15.160164922296225,0.9514747859181731,0.47573739295908657,10.624801776086267,4.018183740353103,478.0,45.0,4.1230723606168445,22.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
10,Panama - Singapore,2006,36915.0,199.0,16.0,14.086414736556955,1.0023025870242448,0.6772314777190844,11.16077475281051,3.2451455402694735,520.0,62.0,3.897753236862148,16.0,none,,False,False,False,False,0,bilateral_symmetric,modern_global,0,0,0,0,1,0,0,1
11,EU - Albania,2006,17284.0,137.0,14.0,21.812080536912752,0.6942837306179125,1.2728535061328397,2.77713492247165,4.029796343439019,377.0,34.0,5.044802867383512,7.0,none,,False,False,False,True,4,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
12,Turkey - Syria,2004,6086.0,51.0,7.0,20.867564903056195,0.9858692080184029,0.16431153466973383,4.600722970752547,3.6861649687808082,127.0,7.0,5.753602305475504,21.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
13,EFTA - Lebanon,2004,5699.0,43.0,11.0,20.880856290577295,0.701877522372346,0.350938761186173,11.58097911914371,3.5974732409194594,119.0,6.0,3.7655889145496535,20.0,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
14,Pan-Arab Free Trade Area (PAFTA),1997,2622.0,27.0,8.0,19.832189168573606,0.38138825324180015,1.1441647597254005,4.195270785659802,2.1784897025171626,52.0,4.0,,,none,,False,False,False,True,1,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
15,Gulf Cooperation Council (GCC),2001,2841.0,35.0,10.0,21.471312917986623,2.1119324181626187,0.703977472720873,2.815909890883492,1.4410418866596268,61.0,8.0,,,none,,False,False,False,True,1,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
16,EU - Algeria,2002,13456.0,109.0,12.0,20.436979785969083,0.9661117717003567,0.2972651605231867,2.6010701545778834,4.403456946095918,275.0,17.0,15.007130124777184,5.0,none,,False,False,False,True,4,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
17,US - Bahrain,2005,48180.0,195.0,19.0,13.449564134495642,1.1000415110004151,0.70568700705687,7.098381070983811,6.0225212496787845,648.0,87.0,2.7143394806172374,12.0,us_tpa_template,USA,True,True,False,False,1,bilateral_asymmetric,modern_global,1,0,0,0,0,0,0,1
19,"EFTA - Korea, Republic of",2005,11163.0,90.0,11.0,22.932903341395683,0.8062348830959419,0.44790826838663444,18.63298396488399,5.461211143957717,256.0,14.0,9.572355087150385,13.0,none,,False,False,False,True,1,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
20,Japan - Malaysia,2005,27982.0,161.0,15.0,16.046029590451003,1.1435923093417197,0.5003216353370024,11.221499535415624,5.585233364305625,449.0,46.0,17.21400945423292,11.0,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
21,Jordan - Singapore,2004,11861.0,73.0,10.0,17.28353427198381,0.7587893095017284,0.5901694629457888,6.491864092403676,4.398954556951353,205.0,16.0,6.895801409745633,11.0,none,,False,False,False,False,0,bilateral_symmetric,modern_global,0,0,0,0,1,0,0,1
23,Dominican Republic - Central America - United States Free Trade Agreement (CAFTA-DR),2004,76892.0,279.0,21.0,13.694532591166832,0.8713520262185923,0.8063257556052645,9.89699838734849,5.32628776787727,1053.0,129.0,4.325710176195614,31.0,us_tpa_template,USA,True,True,False,True,1,plurilateral_template,modern_global,1,0,0,1,0,0,0,1
24,"Korea, Republic of - Singapore",2005,39653.0,215.0,20.0,14.626888255617482,0.8826570499079515,0.6052505485083096,9.583133684714902,3.9135538294706578,580.0,59.0,1.9049531459170013,10.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
25,Turkey - Morocco,2004,4459.0,39.0,6.0,23.099349629961875,0.22426553038797936,0.4485310607759587,7.625028033191298,4.145324063691411,103.0,3.0,3.735973597359736,5.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
26,US - Morocco,2004,58828.0,229.0,20.0,13.496974229958523,1.104916026381995,0.7309444482219352,10.012239069830693,5.104045044957536,794.0,108.0,2.3737824675324677,11.0,us_tpa_template,USA,True,True,False,False,1,bilateral_asymmetric,modern_global,1,0,0,0,0,0,0,1
27,Thailand - New Zealand,2005,23023.0,152.0,17.0,16.548668722581766,0.7383920427398688,0.8252616948269123,13.117317465143552,3.817863296124165,381.0,36.0,3.251552795031056,7.0,none,,False,False,False,False,0,bilateral_symmetric,modern_global,0,0,0,0,1,0,0,1
29,EU - Chile,2002,32604.0,204.0,17.0,15.243528401423138,1.6562384983437615,0.5214084161452582,7.974481658692185,3.1654434016276123,497.0,71.0,,,none,,False,False,False,True,4,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
30,Turkey - Palestinian Authority,2004,5627.0,54.0,7.0,17.593744446419052,1.2440021325750845,0.7108583614714769,4.620579349564599,2.1034298915940997,99.0,11.0,3.0642247867536376,21.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
31,Turkey - Tunisia,2004,5196.0,54.0,8.0,20.592763664357197,1.1547344110854503,0.1924557351809084,5.003849114703618,2.3664357197844494,107.0,7.0,2.3123689727463312,7.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
32,Economic Community of West African States (ECOWAS),1993,12224.0,95.0,18.0,19.960732984293195,1.963350785340314,0.4908376963350785,2.699607329842932,2.54173347513089,244.0,30.0,,,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
33,EFTA - Tunisia,2004,5708.0,48.0,11.0,20.672740014015417,0.350385423966363,0.0,8.759635599159076,3.169936930623686,118.0,2.0,4.218471090415211,19.0,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
34,Japan - Mexico,2004,31018.0,179.0,15.0,16.957895415565154,1.4185311754465149,0.3546327938616287,12.154233025984912,5.902884346723408,526.0,55.0,3.6725352112676055,19.0,japan_epa_template,JPN,True,False,False,False,2,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
36,Thailand - Australia,2004,25957.0,164.0,17.0,16.488808413915322,0.731979812767269,1.1557575991062141,10.594444658473629,3.824954090739813,428.0,49.0,3.5103734439834025,8.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
37,US - Australia,2004,60601.0,248.0,21.0,12.838071979010248,0.990082671903104,0.9735812940380522,7.161597993432451,4.523985990330193,778.0,119.0,2.168860551213492,14.0,us_tpa_template,USA,True,True,False,False,2,bilateral_asymmetric,modern_global,1,0,0,0,0,0,0,1
