pta_id,agreement_name,year,chapter_name,chapter_norm,chapter_index,article_number,article_name,word_count,hard_raw,hard_p1k,soft_raw,soft_p1k,mixed_raw,mixed_p1k,enf_raw,enf_p1k,soft_total,oblig_ratio
1,Japan - Thailand,2007,Preamble,Preamble & Objectives,0,,,308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 1,Objectives,143,0.0,0.0,1.0,6.993006993006993,0.0,0.0,0.0,0.0,1.0,0.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 2,General Definitions,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 3,Transparency,175,3.0,17.142857142857142,2.0,11.428571428571429,1.0,5.714285714285714,2.0,11.428571428571429,3.0,0.75
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 4,Public Comment Procedures,55,1.0,18.18181818181818,1.0,18.18181818181818,0.0,0.0,0.0,0.0,1.0,0.5
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 5,Administrative Proceedings,119,1.0,8.403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 6,Review And Appeal,137,4.0,29.197080291970803,0.0,0.0,0.0,0.0,5.0,36.4963503649635,0.0,4.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 7,Measures Against Corruption,32,1.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 8,Confidential Information,79,2.0,25.31645569620253,0.0,0.0,0.0,0.0,1.0,12.658227848101266,0.0,2.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 9,Taxation,86,4.0,46.51162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 10,General And Security Exceptions,53,2.0,37.73584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 11,Relation To Other Agreements,47,1.0,21.27659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 12,Implementing Agreement,32,1.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Japan - Thailand,2007,General Provisions,Exceptions & Safeguards,1,ARTICLE 13,Joint Committee,208,4.0,19.230769230769234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
