pta_id,name,parties_list,year,type,crossregional,wto_rta_id,asymmetry_type,party_a,party_b,year_int,decade,iso_a_cepii,iso_b_cepii,comlang_off,comleg_ethno,colony,distw,log_dist,ip_a,ip_b,ip_diff,ip_similarity,goods_services,oblig_ratio,total_words,n_articles,n_chapters
1,Japan - Thailand,"['JPN', 'THA']",2007,Free Trade Agreement & Economic Integration Agreement,No,1.0,bilateral_asymmetric,JPN,THA,2007,2000,JPN,THA,0.0,0.0,0.0,4417.599282581329,8.39335167877578,0.6911094,-0.237882,0.9289914,-0.9289914,1,4.997430779209161,29808.0,175.0,17.0
2,Egypt - Turkey,"['EGY', 'TUR']",2005,Free Trade Agreement,Yes,2.0,bilateral_asymmetric,EGY,TUR,2005,2000,EGY,TUR,0.0,0.0,1.0,1120.461404352188,7.021495847625149,-1.432538,0.6587791,2.0913171,-2.0913171,0,3.1264059304703475,3912.0,40.0,8.0
3,Chile - Japan,"['CHL', 'JPN']",2007,Free Trade Agreement & Economic Integration Agreement,Yes,3.0,bilateral_asymmetric,CHL,JPN,2007,2000,CHL,JPN,0.0,0.0,0.0,17351.350434053038,9.76142561716177,0.006848535,0.6911094,0.6842608649999999,-0.6842608649999999,1,2.854262648335306,31380.0,201.0,17.0
7,Chile - China,"['CHL', 'CHN']",2005,Free Trade Agreement & Economic Integration Agreement,Yes,8.0,bilateral_asymmetric,CHL,CHN,2005,2000,CHL,CHN,0.0,0.0,0.0,18884.51521621704,9.846097564508202,0.02467407,-0.8012004,0.82587447,-0.82587447,1,2.7742352676563202,17784.0,123.0,14.0
9,India - Singapore,"['IND', 'SGP']",2005,Free Trade Agreement & Economic Integration Agreement,Yes,10.0,bilateral_asymmetric,IND,SGP,2005,2000,IND,SGP,1.0,1.0,0.0,3742.2518633525847,8.227442811718285,-0.1620774,-0.3870001,0.2249227,-0.2249227,1,4.018183740353103,31530.0,167.0,15.0
10,Panama - Singapore,"['PAN', 'SGP']",2006,Free Trade Agreement & Economic Integration Agreement,Yes,11.0,bilateral_symmetric,PAN,SGP,2006,2000,PAN,SGP,0.0,0.0,0.0,18813.10332064705,9.8423088911775,0.01779067,-0.2777597,0.29555037,-0.29555037,1,3.2451455402694735,36915.0,199.0,16.0
12,Turkey - Syria,"['SYR', 'TUR']",2004,Free Trade Agreement,Yes,13.0,bilateral_asymmetric,SYR,TUR,2004,2000,SYR,TUR,0.0,0.0,1.0,753.7882384547233,6.625111477706164,-0.76491,0.6367978,1.4017078,-1.4017078,0,3.6861649687808082,6086.0,51.0,7.0
17,US - Bahrain,"['BHR', 'USA']",2005,Free Trade Agreement & Economic Integration Agreement,Yes,19.0,bilateral_asymmetric,BHR,USA,2005,2000,BHR,USA,0.0,0.0,0.0,11873.866296707152,9.382095154594339,-1.160191,2.744698,3.904889,-3.904889,1,6.0225212496787845,48180.0,195.0,19.0
20,Japan - Malaysia,"['JPN', 'MYS']",2005,Free Trade Agreement & Economic Integration Agreement,No,22.0,bilateral_asymmetric,JPN,MYS,2005,2000,JPN,MYS,0.0,0.0,0.0,4967.8206064258575,8.510736513143678,0.7902892,-1.028469,1.8187582,-1.8187582,1,5.585233364305625,27982.0,161.0,15.0
21,Jordan - Singapore,"['JOR', 'SGP']",2004,Free Trade Agreement & Economic Integration Agreement,Yes,23.0,bilateral_symmetric,JOR,SGP,2004,2000,JOR,SGP,0.0,1.0,0.0,7868.602997803879,8.970635815845808,-0.5685173,-0.3710645,0.19745279999999998,-0.19745279999999998,1,4.398954556951353,11861.0,73.0,10.0
