pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id
1,Japan - Thailand,"['JPN', 'THA']",2,2007,2007-04-03,2007-11-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,1.0
2,Egypt - Turkey,"['EGY', 'TUR']",2,2005,2005-12-27,2007-03-01,In Force,Free Trade Agreement,Enabling Clause,Bilateral,Africa; Europe,Yes,Yes,en,2.0
3,Chile - Japan,"['CHL', 'JPN']",2,2007,2007-03-27,2007-09-03,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; East Asia,Yes,Yes,en,3.0
4,Central European Free Trade Agreement (CEFTA) 2006,"['ALB', 'BIH', 'MDA', 'MKD', 'MNE', 'RKS', 'SRB']",7,2006,2006-12-19,2007-05-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe; Commonwealth of Independent States (CIS),Yes,No,en,4.0
5,EFTA - Egypt,"['CHE', 'EGY', 'ISL', 'LIE', 'NOR']",5,2007,2007-01-27,2007-08-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Africa; Europe,Yes,Yes,en,5.0
6,Southern African Customs Union (SACU),"['BWA', 'LSO', 'NAM', 'SWZ', 'ZAF']",5,2002,2002-10-21,2004-07-15,In Force,Customs Union,GATT Art. XXIV,Plurilateral,Africa,No,Yes,en,7.0
7,Chile - China,"['CHL', 'CHN']",2,2005,2005-11-18,2006-10-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; East Asia,Yes,Yes,en,8.0
8,Trans-Pacific Strategic Economic Partnership,"['BRN', 'CHL', 'NZL', 'SGP']",4,2005,2005-07-18,2006-05-28,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,East Asia; South America; Oceania,Yes,Yes,en,9.0
9,India - Singapore,"['IND', 'SGP']",2,2005,2005-06-29,2005-08-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,West Asia; East Asia,Yes,Yes,en,10.0
10,Panama - Singapore,"['PAN', 'SGP']",2,2006,2006-03-01,2006-07-24,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America; East Asia,Yes,Yes,en,11.0
11,EU - Albania,"['ALB', 'AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2006,2006-06-12,2006-12-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe,No,Yes,en,12.0
12,Turkey - Syria,"['SYR', 'TUR']",2,2004,2004-12-23,2007-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Middle East; Europe,Yes,No,en,13.0
13,EFTA - Lebanon,"['CHE', 'ISL', 'LBN', 'LIE', 'NOR']",5,2004,2004-06-24,2007-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,No,en,15.0
14,Pan-Arab Free Trade Area (PAFTA),"['ARE', 'BHR', 'EGY', 'IRQ', 'JOR', 'KWT', 'LBN', 'LBY', 'MAR', 'OMN', 'QAT', 'SAU', 'SDN', 'SYR', 'TUN', 'YEM']",16,1997,1997-02-19,1998-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Middle East; Africa,Yes,No,en,16.0
15,Gulf Cooperation Council (GCC),"['ARE', 'BHR', 'KWT', 'OMN', 'QAT', 'SAU']",6,2001,2001-12-31,2003-01-01,In Force,Customs Union,,Plurilateral,Middle East,No,Yes,en,17.0
16,EU - Algeria,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'DZA', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2002,2002-04-22,2005-09-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Africa; Europe,Yes,No,en,18.0
17,US - Bahrain,"['BHR', 'USA']",2,2005,2005-09-14,2006-08-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Middle East; North America,Yes,Yes,en,19.0
18,Costa Rica - Mexico,"['CRI', 'MEX']",2,1994,1994-04-05,1995-01-01,Inactive,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America; North America,Yes,Yes,es,20.0
19,"EFTA - Korea, Republic of","['CHE', 'ISL', 'KOR', 'LIE', 'NOR']",5,2005,2005-12-15,2006-09-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; East Asia,Yes,Yes,en,21.0
20,Japan - Malaysia,"['JPN', 'MYS']",2,2005,2005-12-13,2006-07-13,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,22.0
21,Jordan - Singapore,"['JOR', 'SGP']",2,2004,2004-05-16,2005-08-22,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Middle East; East Asia,Yes,Yes,en,23.0
22,Mexico - Northern Triangle,"['GTM', 'HND', 'MEX', 'SLV']",4,2000,2000-06-29,2001-03-15,Inactive,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America; North America,Yes,Yes,es,24.0
23,Dominican Republic - Central America - United States Free Trade Agreement (CAFTA-DR),"['CRI', 'DOM', 'GTM', 'HND', 'NIC', 'SLV', 'USA']",7,2004,2004-08-05,2006-03-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,Central America; Caribbean; North America,Yes,Yes,en,27.0
24,"Korea, Republic of - Singapore","['KOR', 'SGP']",2,2005,2005-08-04,2006-03-02,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,28.0
25,Turkey - Morocco,"['MAR', 'TUR']",2,2004,2004-04-07,2006-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Africa; Europe,Yes,Yes,en,29.0
26,US - Morocco,"['MAR', 'USA']",2,2004,2004-06-15,2006-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Africa; North America,Yes,Yes,en,30.0
27,Thailand - New Zealand,"['NZL', 'THA']",2,2005,2005-04-19,2005-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,31.0
28,Mexico - Nicaragua,"['MEX', 'NIC']",2,1997,1997-12-18,1998-07-01,Inactive,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,North America; Central America,Yes,Yes,es,32.0
29,EU - Chile,"['AUT', 'BEL', 'BGR', 'CHL', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2002,2002-11-18,2003-02-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; South America,Yes,Yes,en,33.0
30,Turkey - Palestinian Authority,"['PSE', 'TUR']",2,2004,2004-07-20,2005-06-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Middle East; Europe,Yes,No,en,34.0
31,Turkey - Tunisia,"['TUN', 'TUR']",2,2004,2004-11-25,2005-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Africa; Europe,Yes,Yes,en,35.0
32,Economic Community of West African States (ECOWAS),"['BEN', 'BFA', 'CIV', 'CPV', 'GHA', 'GIN', 'GMB', 'GNB', 'LBR', 'MLI', 'NER', 'NGA', 'SEN', 'SLE', 'TGO']",15,1993,1993-07-24,1993-07-24,In Force,Customs Union,Enabling Clause,Plurilateral,Africa,No,No,en,36.0
